coach_name,team,start_date,end_date,team_std
Arsène Wenger,Arsenal,2015-07-01,2018-05-13,Arsenal
Unai Emery,Arsenal,2018-05-23,2019-11-29,Arsenal
Mikel Arteta,Arsenal,2019-12-22,,Arsenal
Tim Sherwood,Aston Villa,2015-07-01,2015-10-25,Aston Villa
Rémi Garde,Aston Villa,2015-11-02,2016-03-29,Aston Villa
Dean Smith,Aston Villa,2018-10-10,2021-11-07,Aston Villa
Steven Gerrard,Aston Villa,2021-11-11,2022-10-20,Aston Villa
Unai Emery,Aston Villa,2022-11-01,,Aston Villa
Eddie Howe,Bournemouth,2015-07-01,2020-08-01,Bournemouth
Scott Parker,Bournemouth,2021-06-28,2022-08-30,Bournemouth
Gary O'Neil,Bournemouth,2022-08-30,2023-06-19,Bournemouth
Andoni Iraola,Bournemouth,2023-06-19,,Bournemouth
Thomas Frank,Brentford,2018-10-16,2025-06-12,Brentford
Keith Andrews,Brentford,2025-06-27,,Brentford
Chris Hughton,Brighton & Hove Albion,2015-07-01,2019-05-13,Brighton & Hove Albion
Graham Potter,Brighton & Hove Albion,2019-05-20,2022-09-08,Brighton & Hove Albion
Roberto De Zerbi,Brighton & Hove Albion,2022-09-18,2024-05-19,Brighton & Hove Albion
Fabian Hürzeler,Brighton & Hove Albion,2024-07-02,,Brighton & Hove Albion
Sean Dyche,Burnley,2015-07-01,2022-04-15,Burnley
Vincent Kompany,Burnley,2022-06-14,2024-05-29,Burnley
Scott Parker,Burnley,2024-07-05,,Burnley
Neil Warnock,Cardiff City,2016-10-05,2019-11-11,Cardiff City
José Mourinho,Chelsea,2015-07-01,2015-12-17,Chelsea
Antonio Conte,Chelsea,2016-07-03,2018-07-13,Chelsea
Maurizio Sarri,Chelsea,2018-07-14,2019-06-16,Chelsea
Frank Lampard,Chelsea,2019-07-04,2021-01-25,Chelsea
Thomas Tuchel,Chelsea,2021-01-26,2022-09-07,Chelsea
Graham Potter,Chelsea,2022-09-08,2023-04-02,Chelsea
Mauricio Pochettino,Chelsea,2023-07-01,2024-05-21,Chelsea
Enzo Maresca,Chelsea,2024-07-01,2026-01-01,Chelsea
Liam Rosenior,Chelsea,2026-01-08,,Chelsea
Alan Pardew,Crystal Palace,2015-07-01,2016-12-22,Crystal Palace
Sam Allardyce,Crystal Palace,2016-12-23,2017-05-23,Crystal Palace
Frank de Boer,Crystal Palace,2017-06-26,2017-09-11,Crystal Palace
Roy Hodgson,Crystal Palace,2017-09-12,2021-05-24,Crystal Palace
Patrick Vieira,Crystal Palace,2021-07-04,2023-03-17,Crystal Palace
Roy Hodgson,Crystal Palace,2023-03-21,2024-02-19,Crystal Palace
Oliver Glasner,Crystal Palace,2024-02-19,,Crystal Palace
Roberto Martínez,Everton,2015-07-01,2016-05-12,Everton
Ronald Koeman,Everton,2016-06-14,2017-10-23,Everton
Sam Allardyce,Everton,2017-11-30,2018-05-16,Everton
Marco Silva,Everton,2018-05-31,2019-12-05,Everton
Carlo Ancelotti,Everton,2019-12-22,2021-06-01,Everton
Rafael Benítez,Everton,2021-06-30,2022-01-16,Everton
Frank Lampard,Everton,2022-01-31,2023-01-23,Everton
Sean Dyche,Everton,2023-01-30,2025-01-09,Everton
